year,id,state,month,number,date
2010,8,Espirito Santo,Fevereiro,15,2010-01-01
2011,8,Espirito Santo,Fevereiro,42,2011-01-01
2012,8,Espirito Santo,Fevereiro,25,2012-01-01
2013,8,Espirito Santo,Fevereiro,15,2013-01-01
2014,8,Espirito Santo,Fevereiro,17,2014-01-01
2015,8,Espirito Santo,Fevereiro,60,2015-01-01
2016,8,Espirito Santo,Fevereiro,24,2016-01-01
2017,8,Espirito Santo,Fevereiro,8,2017-01-01
1998,8,Espirito Santo,Março,0,1998-01-01
1999,8,Espirito Santo,Março,8,1999-01-01
2000,8,Espirito Santo,Março,1,2000-01-01
2001,8,Espirito Santo,Março,2,2001-01-01
2002,8,Espirito Santo,Março,4,2002-01-01
2003,8,Espirito Santo,Março,28,2003-01-01
2004,8,Espirito Santo,Março,3,2004-01-01
2005,8,Espirito Santo,Março,3,2005-01-01
2006,8,Espirito Santo,Março,14,2006-01-01
2007,8,Espirito Santo,Março,9,2007-01-01
2008,8,Espirito Santo,Março,5,2008-01-01
2009,8,Espirito Santo,Março,11,2009-01-01
2010,8,Espirito Santo,Março,3,2010-01-01
2011,8,Espirito Santo,Março,5,2011-01-01
2012,8,Espirito Santo,Março,35,2012-01-01
2013,8,Espirito Santo,Março,13,2013-01-01
2014,8,Espirito Santo,Março,15,2014-01-01
2015,8,Espirito Santo,Março,25,2015-01-01
2016,8,Espirito Santo,Março,107,2016-01-01
2017,8,Espirito Santo,Março,9,2017-01-01
1998,8,Espirito Santo,Abril,0,1998-01-01
1999,8,Espirito Santo,Abril,2,1999-01-01
2000,8,Espirito Santo,Abril,3,2000-01-01
2001,8,Espirito Santo,Abril,2,2001-01-01
2002,8,Espirito Santo,Abril,2,2002-01-01
2003,8,Espirito Santo,Abril,22,2003-01-01
2004,8,Espirito Santo,Abril,0,2004-01-01
2005,8,Espirito Santo,Abril,4,2005-01-01
2006,8,Espirito Santo,Abril,1,2006-01-01
2007,8,Espirito Santo,Abril,2,2007-01-01
2008,8,Espirito Santo,Abril,8,2008-01-01
2009,8,Espirito Santo,Abril,8,2009-01-01
2010,8,Espirito Santo,Abril,7,2010-01-01
2011,8,Espirito Santo,Abril,3,2011-01-01
2012,8,Espirito Santo,Abril,74,2012-01-01
2013,8,Espirito Santo,Abril,16,2013-01-01
2014,8,Espirito Santo,Abril,15,2014-01-01
2015,8,Espirito Santo,Abril,33,2015-01-01
2016,8,Espirito Santo,Abril,57,2016-01-01
2017,8,Espirito Santo,Abril,7,2017-01-01
1998,8,Espirito Santo,Maio,0,1998-01-01
1999,8,Espirito Santo,Maio,16,1999-01-01
2000,8,Espirito Santo,Maio,2,2000-01-01
2001,8,Espirito Santo,Maio,8,2001-01-01
2002,8,Espirito Santo,Maio,5,2002-01-01
2003,8,Espirito Santo,Maio,1,2003-01-01
2004,8,Espirito Santo,Maio,0,2004-01-01
2005,8,Espirito Santo,Maio,5,2005-01-01
2006,8,Espirito Santo,Maio,0,2006-01-01
2007,8,Espirito Santo,Maio,1,2007-01-01
2008,8,Espirito Santo,Maio,2,2008-01-01
2009,8,Espirito Santo,Maio,7,2009-01-01
2010,8,Espirito Santo,Maio,3,2010-01-01
2011,8,Espirito Santo,Maio,2,2011-01-01
2012,8,Espirito Santo,Maio,20,2012-01-01
2013,8,Espirito Santo,Maio,14,2013-01-01
2014,8,Espirito Santo,Maio,18,2014-01-01
2015,8,Espirito Santo,Maio,17,2015-01-01
2016,8,Espirito Santo,Maio,48,2016-01-01
2017,8,Espirito Santo,Maio,10,2017-01-01
1998,8,Espirito Santo,Junho,6,1998-01-01
1999,8,Espirito Santo,Junho,6,1999-01-01
2000,8,Espirito Santo,Junho,9,2000-01-01
2001,8,Espirito Santo,Junho,9,2001-01-01
2002,8,Espirito Santo,Junho,18,2002-01-01
2003,8,Espirito Santo,Junho,19,2003-01-01
2004,8,Espirito Santo,Junho,3,2004-01-01
2005,8,Espirito Santo,Junho,8,2005-01-01
2006,8,Espirito Santo,Junho,5,2006-01-01
2007,8,Espirito Santo,Junho,4,2007-01-01
2008,8,Espirito Santo,Junho,4,2008-01-01
2009,8,Espirito Santo,Junho,12,2009-01-01
2010,8,Espirito Santo,Junho,3,2010-01-01
2011,8,Espirito Santo,Junho,7,2011-01-01
2012,8,Espirito Santo,Junho,15,2012-01-01
2013,8,Espirito Santo,Junho,22,2013-01-01
2014,8,Espirito Santo,Junho,9,2014-01-01
2015,8,Espirito Santo,Junho,18,2015-01-01
2016,8,Espirito Santo,Junho,49,2016-01-01
2017,8,Espirito Santo,Junho,37,2017-01-01
1998,8,Espirito Santo,Julho,37,1998-01-01
1999,8,Espirito Santo,Julho,9,1999-01-01
2000,8,Espirito Santo,Julho,16,2000-01-01
2001,8,Espirito Santo,Julho,12,2001-01-01
2002,8,Espirito Santo,Julho,9,2002-01-01
2003,8,Espirito Santo,Julho,27,2003-01-01
2004,8,Espirito Santo,Julho,4,2004-01-01
2005,8,Espirito Santo,Julho,9,2005-01-01
2006,8,Espirito Santo,Julho,11,2006-01-01
2007,8,Espirito Santo,Julho,13,2007-01-01
2008,8,Espirito Santo,Julho,5,2008-01-01
2009,8,Espirito Santo,Julho,25,2009-01-01
2010,8,Espirito Santo,Julho,5,2010-01-01
2011,8,Espirito Santo,Julho,18,2011-01-01
2012,8,Espirito Santo,Julho,35,2012-01-01
2013,8,Espirito Santo,Julho,20,2013-01-01
2014,8,Espirito Santo,Julho,17,2014-01-01
2015,8,Espirito Santo,Julho,30,2015-01-01
2016,8,Espirito Santo,Julho,42,2016-01-01
2017,8,Espirito Santo,Julho,3,2017-01-01
1998,8,Espirito Santo,Agosto,38,1998-01-01
1999,8,Espirito Santo,Agosto,60,1999-01-01
2000,8,Espirito Santo,Agosto,26,2000-01-01
2001,8,Espirito Santo,Agosto,30,2001-01-01
2002,8,Espirito Santo,Agosto,60,2002-01-01
2003,8,Espirito Santo,Agosto,118,2003-01-01
2004,8,Espirito Santo,Agosto,12,2004-01-01
2005,8,Espirito Santo,Agosto,12,2005-01-01
2006,8,Espirito Santo,Agosto,29,2006-01-01
2007,8,Espirito Santo,Agosto,82,2007-01-01
2008,8,Espirito Santo,Agosto,13,2008-01-01
2009,8,Espirito Santo,Agosto,17,2009-01-01
2010,8,Espirito Santo,Agosto,39,2010-01-01
2011,8,Espirito Santo,Agosto,93,2011-01-01
2012,8,Espirito Santo,Agosto,12,2012-01-01
2013,8,Espirito Santo,Agosto,53,2013-01-01
2014,8,Espirito Santo,Agosto,47,2014-01-01
2015,8,Espirito Santo,Agosto,35,2015-01-01
2016,8,Espirito Santo,Agosto,78,2016-01-01
2017,8,Espirito Santo,Agosto,30,2017-01-01
1998,8,Espirito Santo,Setembro,108,1998-01-01
1999,8,Espirito Santo,Setembro,64,1999-01-01
2000,8,Espirito Santo,Setembro,14,2000-01-01
2001,8,Espirito Santo,Setembro,38,2001-01-01
2002,8,Espirito Santo,Setembro,46,2002-01-01
2003,8,Espirito Santo,Setembro,252,2003-01-01
2004,8,Espirito Santo,Setembro,47,2004-01-01
2005,8,Espirito Santo,Setembro,8,2005-01-01
2006,8,Espirito Santo,Setembro,87,2006-01-01
2007,8,Espirito Santo,Setembro,63,2007-01-01
2008,8,Espirito Santo,Setembro,78,2008-01-01
2009,8,Espirito Santo,Setembro,57,2009-01-01
2010,8,Espirito Santo,Setembro,53,2010-01-01
2011,8,Espirito Santo,Setembro,108,2011-01-01
2012,8,Espirito Santo,Setembro,48,2012-01-01
2013,8,Espirito Santo,Setembro,30,2013-01-01
2014,8,Espirito Santo,Setembro,61,2014-01-01
2015,8,Espirito Santo,Setembro,228,2015-01-01
2016,8,Espirito Santo,Setembro,128,2016-01-01
2017,8,Espirito Santo,Setembro,58,2017-01-01
1998,8,Espirito Santo,Outubro,20,1998-01-01
1999,8,Espirito Santo,Outubro,23,1999-01-01
2000,8,Espirito Santo,Outubro,88,2000-01-01
2001,8,Espirito Santo,Outubro,19,2001-01-01
2002,8,Espirito Santo,Outubro,113,2002-01-01
2003,8,Espirito Santo,Outubro,159,2003-01-01
2004,8,Espirito Santo,Outubro,48,2004-01-01
2005,8,Espirito Santo,Outubro,62,2005-01-01
2006,8,Espirito Santo,Outubro,10,2006-01-01
2007,8,Espirito Santo,Outubro,79,2007-01-01
2008,8,Espirito Santo,Outubro,100,2008-01-01
2009,8,Espirito Santo,Outubro,13,2009-01-01
2010,8,Espirito Santo,Outubro,32,2010-01-01
2011,8,Espirito Santo,Outubro,38,2011-01-01
2012,8,Espirito Santo,Outubro,62,2012-01-01
2013,8,Espirito Santo,Outubro,37,2013-01-01
2014,8,Espirito Santo,Outubro,89,2014-01-01
2015,8,Espirito Santo,Outubro,307,2015-01-01
2016,8,Espirito Santo,Outubro,58,2016-01-01
2017,8,Espirito Santo,Outubro,56,2017-01-01
1998,8,Espirito Santo,Novembro,4,1998-01-01
1999,8,Espirito Santo,Novembro,9,1999-01-01
2000,8,Espirito Santo,Novembro,3,2000-01-01
2001,8,Espirito Santo,Novembro,3,2001-01-01
2002,8,Espirito Santo,Novembro,22,2002-01-01
2003,8,Espirito Santo,Novembro,49,2003-01-01
2004,8,Espirito Santo,Novembro,42,2004-01-01
2005,8,Espirito Santo,Novembro,0,2005-01-01
2006,8,Espirito Santo,Novembro,0,2006-01-01
2007,8,Espirito Santo,Novembro,112,2007-01-01
2008,8,Espirito Santo,Novembro,3,2008-01-01
2009,8,Espirito Santo,Novembro,18,2009-01-01
2010,8,Espirito Santo,Novembro,3,2010-01-01
2011,8,Espirito Santo,Novembro,6,2011-01-01
2012,8,Espirito Santo,Novembro,7,2012-01-01
2013,8,Espirito Santo,Novembro,11,2013-01-01
2014,8,Espirito Santo,Novembro,20,2014-01-01
2015,8,Espirito Santo,Novembro,141,2015-01-01
2016,8,Espirito Santo,Novembro,8,2016-01-01
2017,8,Espirito Santo,Novembro,3,2017-01-01
1998,8,Espirito Santo,Dezembro,5,1998-01-01
1999,8,Espirito Santo,Dezembro,0,1999-01-01
2000,8,Espirito Santo,Dezembro,3,2000-01-01
2001,8,Espirito Santo,Dezembro,1,2001-01-01
2002,8,Espirito Santo,Dezembro,12,2002-01-01
2003,8,Espirito Santo,Dezembro,18,2003-01-01
2004,8,Espirito Santo,Dezembro,9,2004-01-01
2005,8,Espirito Santo,Dezembro,5,2005-01-01
2006,8,Espirito Santo,Dezembro,0,2006-01-01
2007,8,Espirito Santo,Dezembro,14,2007-01-01
2008,8,Espirito Santo,Dezembro,1,2008-01-01
2009,8,Espirito Santo,Dezembro,32,2009-01-01
2010,8,Espirito Santo,Dezembro,10,2010-01-01
2011,8,Espirito Santo,Dezembro,1,2011-01-01
2012,8,Espirito Santo,Dezembro,18,2012-01-01
2013,8,Espirito Santo,Dezembro,9,2013-01-01
2014,8,Espirito Santo,Dezembro,28,2014-01-01
2015,8,Espirito Santo,Dezembro,61,2015-01-01
2016,8,Espirito Santo,Dezembro,12,2016-01-01
1998,9,Goias,Janeiro,0,1998-01-01
1999,9,Goias,Janeiro,14,1999-01-01
2000,9,Goias,Janeiro,10,2000-01-01
2001,9,Goias,Janeiro,29,2001-01-01
2002,9,Goias,Janeiro,12,2002-01-01
2003,9,Goias,Janeiro,14,2003-01-01
2004,9,Goias,Janeiro,10,2004-01-01
2005,9,Goias,Janeiro,27,2005-01-01
2006,9,Goias,Janeiro,85,2006-01-01
2007,9,Goias,Janeiro,28,2007-01-01
2008,9,Goias,Janeiro,23,2008-01-01
2009,9,Goias,Janeiro,30,2009-01-01
2010,9,Goias,Janeiro,59,2010-01-01
2011,9,Goias,Janeiro,39,2011-01-01
2012,9,Goias,Janeiro,21,2012-01-01
2013,9,Goias,Janeiro,33,2013-01-01
2014,9,Goias,Janeiro,80,2014-01-01
2015,9,Goias,Janeiro,118,2015-01-01
2016,9,Goias,Janeiro,52,2016-01-01
2017,9,Goias,Janeiro,53,2017-01-01
1998,9,Goias,Fevereiro,0,1998-01-01
1999,9,Goias,Fevereiro,334,1999-01-01
2000,9,Goias,Fevereiro,11,2000-01-01
2001,9,Goias,Fevereiro,9,2001-01-01
2002,9,Goias,Fevereiro,9,2002-01-01
2003,9,Goias,Fevereiro,47,2003-01-01
2004,9,Goias,Fevereiro,11,2004-01-01
2005,9,Goias,Fevereiro,84,2005-01-01
2006,9,Goias,Fevereiro,21,2006-01-01
2007,9,Goias,Fevereiro,13,2007-01-01
2008,9,Goias,Fevereiro,25,2008-01-01
2009,9,Goias,Fevereiro,29,2009-01-01
2010,9,Goias,Fevereiro,86,2010-01-01
2011,9,Goias,Fevereiro,45,2011-01-01
2012,9,Goias,Fevereiro,37,2012-01-01
2013,9,Goias,Fevereiro,86,2013-01-01
2014,9,Goias,Fevereiro,44,2014-01-01
2015,9,Goias,Fevereiro,53,2015-01-01
2016,9,Goias,Fevereiro,117,2016-01-01
2017,9,Goias,Fevereiro,75,2017-01-01
1998,9,Goias,Março,0,1998-01-01
1999,9,Goias,Março,1,1999-01-01
2000,9,Goias,Março,4,2000-01-01
2001,9,Goias,Março,10,2001-01-01
2002,9,Goias,Março,48,2002-01-01
2003,9,Goias,Março,29,2003-01-01
2004,9,Goias,Março,36,2004-01-01
2005,9,Goias,Março,36,2005-01-01
2006,9,Goias,Março,29,2006-01-01
2007,9,Goias,Março,49,2007-01-01
2008,9,Goias,Março,20,2008-01-01
2009,9,Goias,Março,32,2009-01-01
2010,9,Goias,Março,65,2010-01-01
2011,9,Goias,Março,19,2011-01-01
2012,9,Goias,Março,57,2012-01-01
2013,9,Goias,Março,79,2013-01-01
2014,9,Goias,Março,80,2014-01-01
2015,9,Goias,Março,76,2015-01-01
2016,9,Goias,Março,136,2016-01-01
2017,9,Goias,Março,115,2017-01-01
1998,9,Goias,Abril,0,1998-01-01
1999,9,Goias,Abril,25,1999-01-01
2000,9,Goias,Abril,16,2000-01-01
2001,9,Goias,Abril,49,2001-01-01
2002,9,Goias,Abril,78,2002-01-01
2003,9,Goias,Abril,87,2003-01-01
2004,9,Goias,Abril,32,2004-01-01
2005,9,Goias,Abril,55,2005-01-01
2006,9,Goias,Abril,22,2006-01-01
2007,9,Goias,Abril,17,2007-01-01
2008,9,Goias,Abril,36,2008-01-01
2009,9,Goias,Abril,11,2009-01-01
2010,9,Goias,Abril,105,2010-01-01
2011,9,Goias,Abril,71,2011-01-01
2012,9,Goias,Abril,89,2012-01-01
2013,9,Goias,Abril,42,2013-01-01
2014,9,Goias,Abril,138,2014-01-01
2015,9,Goias,Abril,89,2015-01-01
2016,9,Goias,Abril,167,2016-01-01
2017,9,Goias,Abril,60,2017-01-01
1998,9,Goias,Maio,0,1998-01-01
1999,9,Goias,Maio,99,1999-01-01
2000,9,Goias,Maio,58,2000-01-01
2001,9,Goias,Maio,85,2001-01-01
2002,9,Goias,Maio,171,2002-01-01
2003,9,Goias,Maio,57,2003-01-01
2004,9,Goias,Maio,157,2004-01-01
2005,9,Goias,Maio,164,2005-01-01
2006,9,Goias,Maio,33,2006-01-01
2007,9,Goias,Maio,94,2007-01-01
2008,9,Goias,Maio,41,2008-01-01
2009,9,Goias,Maio,104,2009-01-01
2010,9,Goias,Maio,239,2010-01-01
2011,9,Goias,Maio,136,2011-01-01
2012,9,Goias,Maio,103,2012-01-01
2013,9,Goias,Maio,150,2013-01-01
2014,9,Goias,Maio,210,2014-01-01
2015,9,Goias,Maio,129,2015-01-01
2016,9,Goias,Maio,233,2016-01-01
2017,9,Goias,Maio,135,2017-01-01
1998,9,Goias,Junho,172,1998-01-01
1999,9,Goias,Junho,250,1999-01-01
2000,9,Goias,Junho,222,2000-01-01
2001,9,Goias,Junho,212,2001-01-01
2002,9,Goias,Junho,302,2002-01-01
2003,9,Goias,Junho,321,2003-01-01
2004,9,Goias,Junho,422,2004-01-01
2005,9,Goias,Junho,189,2005-01-01
2006,9,Goias,Junho,70,2006-01-01
2007,9,Goias,Junho,186,2007-01-01
2008,9,Goias,Junho,55,2008-01-01
2009,9,Goias,Junho,179,2009-01-01
2010,9,Goias,Junho,278,2010-01-01
2011,9,Goias,Junho,314,2011-01-01
2012,9,Goias,Junho,245,2012-01-01
2013,9,Goias,Junho,192,2013-01-01
2014,9,Goias,Junho,318,2014-01-01
2015,9,Goias,Junho,277,2015-01-01
2016,9,Goias,Junho,289,2016-01-01
2017,9,Goias,Junho,442,2017-01-01
1998,9,Goias,Julho,512,1998-01-01
1999,9,Goias,Julho,311,1999-01-01
2000,9,Goias,Julho,332,2000-01-01
2001,9,Goias,Julho,371,2001-01-01
2002,9,Goias,Julho,686,2002-01-01
2003,9,Goias,Julho,322,2003-01-01
2004,9,Goias,Julho,778,2004-01-01
2005,9,Goias,Julho,363,2005-01-01
2006,9,Goias,Julho,169,2006-01-01
2007,9,Goias,Julho,399,2007-01-01
2008,9,Goias,Julho,193,2008-01-01
2009,9,Goias,Julho,470,2009-01-01
2010,9,Goias,Julho,941,2010-01-01
2011,9,Goias,Julho,607,2011-01-01
2012,9,Goias,Julho,564,2012-01-01
2013,9,Goias,Julho,350,2013-01-01
2014,9,Goias,Julho,446,2014-01-01
2015,9,Goias,Julho,347,2015-01-01
2016,9,Goias,Julho,837,2016-01-01
2017,9,Goias,Julho,577,2017-01-01
1998,9,Goias,Agosto,2.218,1998-01-01
1999,9,Goias,Agosto,1.198,1999-01-01
2000,9,Goias,Agosto,925,2000-01-01
2001,9,Goias,Agosto,787,2001-01-01
2002,9,Goias,Agosto,1.428,2002-01-01
2003,9,Goias,Agosto,902,2003-01-01
2004,9,Goias,Agosto,1.498,2004-01-01
2005,9,Goias,Agosto,639,2005-01-01
2006,9,Goias,Agosto,588,2006-01-01
2007,9,Goias,Agosto,2.382,2007-01-01
2008,9,Goias,Agosto,568,2008-01-01
2009,9,Goias,Agosto,647,2009-01-01
2010,9,Goias,Agosto,2.914,2010-01-01
2011,9,Goias,Agosto,1.613,2011-01-01
2012,9,Goias,Agosto,912,2012-01-01
2013,9,Goias,Agosto,488,2013-01-01
2014,9,Goias,Agosto,1.255,2014-01-01
2015,9,Goias,Agosto,943,2015-01-01
2016,9,Goias,Agosto,1.032,2016-01-01
2017,9,Goias,Agosto,1.492,2017-01-01
1998,9,Goias,Setembro,2.867,1998-01-01
1999,9,Goias,Setembro,1.898,1999-01-01
2000,9,Goias,Setembro,1.293,2000-01-01
2001,9,Goias,Setembro,1.863,2001-01-01
2002,9,Goias,Setembro,3.52,2002-01-01
2003,9,Goias,Setembro,1.662,2003-01-01
2004,9,Goias,Setembro,2.965,2004-01-01
2005,9,Goias,Setembro,1.341,2005-01-01
2006,9,Goias,Setembro,1.463,2006-01-01
2007,9,Goias,Setembro,3.745,2007-01-01
2008,9,Goias,Setembro,1.255,2008-01-01
2009,9,Goias,Setembro,685,2009-01-01
2010,9,Goias,Setembro,5.075,2010-01-01
2011,9,Goias,Setembro,2.259,2011-01-01
2012,9,Goias,Setembro,2.452,2012-01-01
2013,9,Goias,Setembro,684,2013-01-01
2014,9,Goias,Setembro,1.687,2014-01-01
2015,9,Goias,Setembro,2.296,2015-01-01
2016,9,Goias,Setembro,1.703,2016-01-01
2017,9,Goias,Setembro,3.238,2017-01-01
1998,9,Goias,Outubro,1.034,1998-01-01
1999,9,Goias,Outubro,743,1999-01-01
2000,9,Goias,Outubro,905,2000-01-01
2001,9,Goias,Outubro,479,2001-01-01
2002,9,Goias,Outubro,1.367,2002-01-01
2003,9,Goias,Outubro,1.183,2003-01-01
2004,9,Goias,Outubro,1.275,2004-01-01
2005,9,Goias,Outubro,1.717,2005-01-01
2006,9,Goias,Outubro,178,2006-01-01
2007,9,Goias,Outubro,1.195,2007-01-01
2008,9,Goias,Outubro,1.231,2008-01-01
2009,9,Goias,Outubro,367,2009-01-01
2010,9,Goias,Outubro,1.227,2010-01-01
2011,9,Goias,Outubro,476,2011-01-01
2012,9,Goias,Outubro,1.524,2012-01-01
2013,9,Goias,Outubro,606,2013-01-01
2014,9,Goias,Outubro,1.947,2014-01-01
2015,9,Goias,Outubro,1.807,2015-01-01
2016,9,Goias,Outubro,522,2016-01-01
2017,9,Goias,Outubro,2.401,2017-01-01
1998,9,Goias,Novembro,47,1998-01-01
1999,9,Goias,Novembro,110,1999-01-01
2000,9,Goias,Novembro,26,2000-01-01
2001,9,Goias,Novembro,15,2001-01-01
2002,9,Goias,Novembro,192,2002-01-01
2003,9,Goias,Novembro,168,2003-01-01
2004,9,Goias,Novembro,291,2004-01-01
2005,9,Goias,Novembro,144,2005-01-01
2006,9,Goias,Novembro,91,2006-01-01
2007,9,Goias,Novembro,79,2007-01-01
2008,9,Goias,Novembro,90,2008-01-01
2009,9,Goias,Novembro,89,2009-01-01
2010,9,Goias,Novembro,67,2010-01-01
2011,9,Goias,Novembro,59,2011-01-01
2012,9,Goias,Novembro,57,2012-01-01
2013,9,Goias,Novembro,183,2013-01-01
2014,9,Goias,Novembro,181,2014-01-01
2015,9,Goias,Novembro,547,2015-01-01
2016,9,Goias,Novembro,123,2016-01-01
2017,9,Goias,Novembro,117,2017-01-01
1998,9,Goias,Dezembro,13,1998-01-01
1999,9,Goias,Dezembro,20,1999-01-01
2000,9,Goias,Dezembro,6,2000-01-01
2001,9,Goias,Dezembro,18,2001-01-01
2002,9,Goias,Dezembro,115,2002-01-01
2003,9,Goias,Dezembro,129,2003-01-01
2004,9,Goias,Dezembro,56,2004-01-01
2005,9,Goias,Dezembro,5,2005-01-01
2006,9,Goias,Dezembro,7,2006-01-01
2007,9,Goias,Dezembro,16,2007-01-01
2008,9,Goias,Dezembro,6,2008-01-01
2009,9,Goias,Dezembro,39,2009-01-01
2010,9,Goias,Dezembro,48,2010-01-01
2011,9,Goias,Dezembro,39,2011-01-01
2012,9,Goias,Dezembro,93,2012-01-01
2013,9,Goias,Dezembro,86,2013-01-01
2014,9,Goias,Dezembro,68,2014-01-01
2015,9,Goias,Dezembro,179,2015-01-01
2016,9,Goias,Dezembro,64,2016-01-01
1998,10,Maranhao,Janeiro,0,1998-01-01
1999,10,Maranhao,Janeiro,54,1999-01-01
2000,10,Maranhao,Janeiro,19,2000-01-01
2001,10,Maranhao,Janeiro,29,2001-01-01
2002,10,Maranhao,Janeiro,48,2002-01-01
2003,10,Maranhao,Janeiro,436,2003-01-01
2004,10,Maranhao,Janeiro,241,2004-01-01
2005,10,Maranhao,Janeiro,450,2005-01-01
2006,10,Maranhao,Janeiro,221,2006-01-01
2007,10,Maranhao,Janeiro,428,2007-01-01
2008,10,Maranhao,Janeiro,121,2008-01-01
2009,10,Maranhao,Janeiro,240,2009-01-01
2010,10,Maranhao,Janeiro,319,2010-01-01
2011,10,Maranhao,Janeiro,124,2011-01-01
2012,10,Maranhao,Janeiro,326,2012-01-01
2013,10,Maranhao,Janeiro,209,2013-01-01
2014,10,Maranhao,Janeiro,195,2014-01-01
2015,10,Maranhao,Janeiro,494,2015-01-01
2016,10,Maranhao,Janeiro,412,2016-01-01
2017,10,Maranhao,Janeiro,187,2017-01-01
1998,10,Maranhao,Fevereiro,0,1998-01-01
1999,10,Maranhao,Fevereiro,6,1999-01-01
2000,10,Maranhao,Fevereiro,11,2000-01-01
2001,10,Maranhao,Fevereiro,1,2001-01-01
2002,10,Maranhao,Fevereiro,116,2002-01-01
2003,10,Maranhao,Fevereiro,11,2003-01-01
2004,10,Maranhao,Fevereiro,22,2004-01-01
2005,10,Maranhao,Fevereiro,56,2005-01-01
2006,10,Maranhao,Fevereiro,22,2006-01-01
2007,10,Maranhao,Fevereiro,13,2007-01-01
2008,10,Maranhao,Fevereiro,45,2008-01-01
2009,10,Maranhao,Fevereiro,20,2009-01-01
2010,10,Maranhao,Fevereiro,93,2010-01-01
2011,10,Maranhao,Fevereiro,9,2011-01-01
2012,10,Maranhao,Fevereiro,46,2012-01-01
2013,10,Maranhao,Fevereiro,62,2013-01-01
2014,10,Maranhao,Fevereiro,29,2014-01-01
2015,10,Maranhao,Fevereiro,95,2015-01-01
2016,10,Maranhao,Fevereiro,318,2016-01-01
2017,10,Maranhao,Fevereiro,47,2017-01-01
1998,10,Maranhao,Março,0,1998-01-01
1999,10,Maranhao,Março,17,1999-01-01
2000,10,Maranhao,Março,6,2000-01-01
2001,10,Maranhao,Março,0,2001-01-01
2002,10,Maranhao,Março,16,2002-01-01
2003,10,Maranhao,Março,16,2003-01-01
2004,10,Maranhao,Março,18,2004-01-01
2005,10,Maranhao,Março,9,2005-01-01
2006,10,Maranhao,Março,14,2006-01-01
2007,10,Maranhao,Março,52,2007-01-01
2008,10,Maranhao,Março,4,2008-01-01
2009,10,Maranhao,Março,33,2009-01-01
2010,10,Maranhao,Março,82,2010-01-01
2011,10,Maranhao,Março,22,2011-01-01
2012,10,Maranhao,Março,49,2012-01-01
2013,10,Maranhao,Março,30,2013-01-01
2014,10,Maranhao,Março,59,2014-01-01
2015,10,Maranhao,Março,53,2015-01-01
2016,10,Maranhao,Março,113,2016-01-01
2017,10,Maranhao,Março,32,2017-01-01
1998,10,Maranhao,Abril,0,1998-01-01
1999,10,Maranhao,Abril,4,1999-01-01
2000,10,Maranhao,Abril,6,2000-01-01
2001,10,Maranhao,Abril,2,2001-01-01
2002,10,Maranhao,Abril,28,2002-01-01
2003,10,Maranhao,Abril,79,2003-01-01
2004,10,Maranhao,Abril,44,2004-01-01
2005,10,Maranhao,Abril,43,2005-01-01
2006,10,Maranhao,Abril,9,2006-01-01
2007,10,Maranhao,Abril,5,2007-01-01
2008,10,Maranhao,Abril,26,2008-01-01
2009,10,Maranhao,Abril,14,2009-01-01
2010,10,Maranhao,Abril,128,2010-01-01
2011,10,Maranhao,Abril,37,2011-01-01
2012,10,Maranhao,Abril,97,2012-01-01
2013,10,Maranhao,Abril,62,2013-01-01
2014,10,Maranhao,Abril,78,2014-01-01
2015,10,Maranhao,Abril,119,2015-01-01
2016,10,Maranhao,Abril,113,2016-01-01
2017,10,Maranhao,Abril,91,2017-01-01
1998,10,Maranhao,Maio,0,1998-01-01
1999,10,Maranhao,Maio,3,1999-01-01
2000,10,Maranhao,Maio,28,2000-01-01
2001,10,Maranhao,Maio,21,2001-01-01
2002,10,Maranhao,Maio,71,2002-01-01
2003,10,Maranhao,Maio,60,2003-01-01
2004,10,Maranhao,Maio,145,2004-01-01
2005,10,Maranhao,Maio,74,2005-01-01
2006,10,Maranhao,Maio,5,2006-01-01
2007,10,Maranhao,Maio,73,2007-01-01
2008,10,Maranhao,Maio,26,2008-01-01
2009,10,Maranhao,Maio,19,2009-01-01
2010,10,Maranhao,Maio,273,2010-01-01
2011,10,Maranhao,Maio,73,2011-01-01
2012,10,Maranhao,Maio,286,2012-01-01
2013,10,Maranhao,Maio,100,2013-01-01
2014,10,Maranhao,Maio,148,2014-01-01
2015,10,Maranhao,Maio,194,2015-01-01
2016,10,Maranhao,Maio,206,2016-01-01
2017,10,Maranhao,Maio,142,2017-01-01
1998,10,Maranhao,Junho,78,1998-01-01
1999,10,Maranhao,Junho,32,1999-01-01
2000,10,Maranhao,Junho,94,2000-01-01
2001,10,Maranhao,Junho,100,2001-01-01
2002,10,Maranhao,Junho,230,2002-01-01
2003,10,Maranhao,Junho,338,2003-01-01
2004,10,Maranhao,Junho,706,2004-01-01
2005,10,Maranhao,Junho,529,2005-01-01
2006,10,Maranhao,Junho,131,2006-01-01
2007,10,Maranhao,Junho,515,2007-01-01
2008,10,Maranhao,Junho,235,2008-01-01
2009,10,Maranhao,Junho,279,2009-01-01
2010,10,Maranhao,Junho,494,2010-01-01
2011,10,Maranhao,Junho,602,2011-01-01
2012,10,Maranhao,Junho,915,2012-01-01
2013,10,Maranhao,Junho,498,2013-01-01
2014,10,Maranhao,Junho,812,2014-01-01
2015,10,Maranhao,Junho,887,2015-01-01
2016,10,Maranhao,Junho,709,2016-01-01
